index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,9974203.0,65420.0,345211.0,418744.0,372525.0,576964.0,2541134.0,259156.0,92502.0,272954.0,1812673.0,91619.0,139609.0,505317.0,147181.0,324393.0,1606597.0,402204.0
med_age,35.3,43.9,31.7,34.5,33.0,34.5,34.3,35.8,46.8,39.4,36.7,40.3,40.0,29.5,41.6,35.5,38.0,32.0
hs_g,20.5,12.6,25.0,25.7,24.0,19.1,17.9,18.7,13.0,12.8,20.6,9.3,10.4,22.6,17.5,26.3,23.14,26.7
lhs_g,23.2,3.5,33.7,24.3,27.5,20.0,26.0,11.0,5.9,10.6,20.1,5.1,3.2,54.7,7.0,21.8,22.42,21.39
pop_15,8049317.0,54111.0,266014.0,330725.0,290442.0,462185.0,2087642.0,202541.0,76196.0,226933.0,1479324.0,81119.0,113930.0,380213.0,122256.0,260275.0,1308768.0,306643.0
med_inc,24826.0,46353.0,20098.0,25135.0,22428.0,26554.0,22257.0,36043.0,45691.0,37053.0,25820.0,45182.0,55965.0,17119.0,38102.0,26078.0,24162.0,25686.0
pop_det_pov,9819397.0,62258.0,339263.0,414319.0,369471.0,570158.0,2485984.0,250230.0,91999.0,269930.0,1795857.0,90671.0,139263.0,502593.0,146141.0,318573.0,1580231.0,392456.0
pov_level,18.4,8.0,21.0,14.5,21.9,19.0,24.9,8.8,6.7,11.4,16.3,11.3,5.0,27.3,6.9,11.9,13.94,20.28
p_crash,,19.0,41.0,92.0,3.0,212.0,2797.0,32.0,1.0,76.0,146.0,78.0,184.0,38.0,41.0,42.0,387.0,80.0
