index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,10098052.0,64932.0,351459.0,419001.0,374562.0,577138.0,2598846.0,261333.0,92404.0,274554.0,1860414.0,92078.0,139773.0,497962.0,146392.0,325545.0,1614337.0,407322.0
med_age,36.2,45.1,33.1,35.8,35.0,35.1,34.9,36.6,47.9,40.7,37.7,39.9,40.7,31.0,41.7,36.9,39.0,33.0
hs_g,20.7,11.7,25.8,24.7,24.1,18.9,18.0,18.2,12.7,13.2,20.7,8.3,9.3,24.3,16.0,28.6,23.26,27.45
lhs_g,21.3,2.6,32.7,22.8,24.7,18.7,23.8,9.8,4.9,9.5,18.2,5.2,3.1,49.8,5.8,18.6,20.77,21.03
pop_15,8238808.0,55178.0,276034.0,335208.0,296679.0,467862.0,2155061.0,206153.0,77071.0,228556.0,1538569.0,80689.0,113921.0,380768.0,121128.0,265391.0,1327821.0,312719.0
med_inc,27856.0,51970.0,23818.0,27706.0,25119.0,30587.0,26472.0,39705.0,50473.0,40672.0,29234.0,54022.0,63844.0,20407.0,42808.0,30132.0,26206.0,28860.5
pop_det_pov,9947799.0,61945.0,346675.0,415237.0,372299.0,570151.0,2543269.0,253705.0,91807.0,271572.0,1843478.0,91213.0,139451.0,495905.0,145494.0,319832.0,1587512.0,398254.0
pov_level,16.0,6.3,18.0,12.0,17.7,16.5,21.2,8.2,6.5,11.6,14.3,10.4,4.7,23.4,7.0,9.9,12.17,19.38
p_crash,,16.0,43.0,74.0,58.0,362.0,3215.0,25.0,1.0,75.0,90.0,84.0,147.0,41.0,47.0,30.0,432.0,86.0
