index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,9893481.0,65004.0,341122.0,416053.0,371452.0,573171.0,2520973.0,256632.0,91839.0,271945.0,1793148.0,90752.0,138783.0,503007.0,146187.0,321963.0,1591207.0,400243.0
med_age,35.1,43.9,31.3,34.0,32.6,34.4,34.1,35.4,46.2,39.6,36.5,40.2,39.8,28.8,41.8,35.1,37.0,32.0
hs_g,20.5,11.8,25.1,25.8,24.1,19.5,18.0,18.4,13.0,12.3,20.5,9.7,9.9,22.9,17.8,26.4,23.0,26.33
lhs_g,23.4,3.3,33.7,24.1,27.6,19.9,26.4,11.7,5.7,10.9,20.3,4.9,3.2,54.8,7.0,22.4,22.52,21.53
pop_15,7954053.0,53738.0,260092.0,327188.0,288368.0,457444.0,2065307.0,200635.0,74912.0,226446.0,1457522.0,80153.0,113589.0,375320.0,121127.0,257440.0,1291187.0,303585.0
med_inc,24852.0,47875.0,20411.0,24932.0,22633.0,26328.0,22073.0,36164.0,46179.0,37306.0,25814.0,44936.0,56532.0,17235.0,38548.0,26172.0,24361.0,25444.0
pop_det_pov,9738370.0,62088.0,335080.0,411642.0,368310.0,566252.0,2465061.0,247089.0,91317.0,268901.0,1777087.0,89883.0,138514.0,500152.0,145111.0,316268.0,1565108.0,390507.0
pov_level,17.8,7.6,20.3,13.8,21.5,18.4,24.4,8.7,6.2,10.4,15.8,11.2,4.6,26.6,7.4,11.0,13.23,19.49
p_crash,,11.0,38.0,66.0,7.0,254.0,2671.0,37.0,2.0,67.0,169.0,102.0,165.0,55.0,40.0,41.0,376.0,77.0
