index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,10038388.0,65279.0,347905.0,420017.0,374452.0,578925.0,2564317.0,262616.0,93057.0,273354.0,1832058.0,92169.0,139974.0,503893.0,147589.0,325794.0,1612227.0,404762.0
med_age,35.6,44.8,32.0,34.5,33.6,34.7,34.5,35.9,47.3,39.9,36.9,40.5,40.4,29.8,41.8,35.8,39.0,32.5
hs_g,20.7,12.6,24.8,24.9,24.1,19.5,18.0,18.8,13.8,12.8,20.9,9.5,9.8,22.8,17.4,26.9,23.3,27.45
lhs_g,22.7,3.4,33.7,24.3,26.9,19.7,25.4,11.0,5.3,9.7,19.7,4.7,3.2,53.7,6.5,21.2,22.26,20.83
pop_15,8129461.0,54729.0,269335.0,331861.0,292664.0,464611.0,2112786.0,205751.0,77372.0,228200.0,1501999.0,81713.0,114192.0,380637.0,122504.0,262686.0,1320206.0,308215.0
med_inc,24966.0,45332.0,20545.0,25318.0,22143.0,26805.0,22572.0,36459.0,45822.0,37338.0,25902.0,46568.0,57468.0,17300.0,38719.0,26268.0,24013.0,25916.5
pop_det_pov,9886133.0,62215.0,342469.0,415916.0,371708.0,572114.0,2509690.0,254266.0,92508.0,270364.0,1814551.0,91215.0,139659.0,501184.0,146583.0,319950.0,1586645.0,395096.0
pov_level,18.2,7.2,20.6,14.2,22.0,18.9,24.5,8.9,6.9,11.7,16.2,11.3,4.7,26.7,7.0,11.6,13.6,21.04
p_crash,,14.0,46.0,71.0,54.0,254.0,2885.0,39.0,1.0,69.0,174.0,72.0,188.0,59.0,39.0,33.0,435.0,97.0
