index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,10105722.0,65049.0,352471.0,420541.0,375742.0,578946.0,2593246.0,260405.0,92755.0,275223.0,1856209.0,92495.0,140327.0,502562.0,147190.0,326356.0,1617596.0,408609.0
med_age,36.0,45.0,32.7,35.4,34.5,34.8,34.7,36.6,47.6,40.4,37.5,40.5,40.7,30.5,41.7,36.8,39.0,33.0
hs_g,20.7,11.3,25.4,24.6,24.3,19.4,17.9,18.5,12.8,12.9,20.9,8.7,9.9,23.9,16.0,27.7,23.09,27.5
lhs_g,21.8,3.0,33.2,23.3,25.4,18.9,24.4,10.2,5.2,9.7,18.9,5.7,2.8,51.2,6.4,19.7,21.57,20.36
pop_15,8227851.0,54750.0,275815.0,336820.0,296641.0,466732.0,2144075.0,205461.0,77035.0,229777.0,1531812.0,81368.0,114374.0,382446.0,122261.0,265302.0,1330520.0,312662.0
med_inc,26549.0,48564.0,22163.0,26702.0,23356.0,29438.0,24953.0,37445.0,47259.0,38204.0,27406.0,50845.0,61115.0,19031.0,40922.0,28334.0,24955.0,27955.0
pop_det_pov,9955473.0,62005.0,347377.0,416708.0,373423.0,572057.0,2539138.0,252532.0,92209.0,272235.0,1838994.0,91587.0,140016.0,500401.0,146334.0,320539.0,1590805.0,399113.0
pov_level,17.0,7.7,18.6,13.0,19.5,17.4,22.6,8.4,6.7,11.9,15.2,10.7,5.0,24.5,7.2,10.9,13.02,19.73
p_crash,,17.0,64.0,87.0,67.0,341.0,3154.0,22.0,2.0,82.0,100.0,96.0,170.0,53.0,38.0,30.0,427.0,82.0
