index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,10057155.0,65174.0,350122.0,419579.0,374065.0,578060.0,2574716.0,264701.0,92760.0,273855.0,1840994.0,92247.0,139864.0,502096.0,147307.0,325137.0,1611505.0,404973.0
med_age,35.8,45.3,32.3,35.1,34.0,34.7,34.6,36.3,47.2,40.3,37.1,40.5,40.9,30.1,41.7,36.4,39.0,32.5
hs_g,20.7,11.5,25.2,24.6,24.3,19.3,17.9,18.7,13.8,12.6,20.9,9.0,9.5,23.3,17.1,26.7,23.36,26.84
lhs_g,22.3,3.4,33.3,23.8,26.2,19.4,24.8,10.7,5.2,9.6,19.3,5.0,3.0,52.5,6.3,20.8,21.67,20.78
pop_15,8164241.0,54901.0,272192.0,334051.0,294785.0,464490.0,2123925.0,208219.0,76966.0,228265.0,1512713.0,81551.0,113826.0,380508.0,122347.0,263307.0,1323098.0,309097.0
med_inc,25587.0,47283.0,21226.0,25847.0,22470.0,27338.0,23575.0,36943.0,46875.0,37440.0,26458.0,48691.0,60970.0,18041.0,39720.0,26912.0,24154.0,26731.5
pop_det_pov,9906013.0,62144.0,344739.0,415780.0,371595.0,571337.0,2521098.0,256597.0,92180.0,270811.0,1823215.0,91296.0,139588.0,499731.0,146302.0,319399.0,1585000.0,395201.0
pov_level,17.8,7.0,20.3,14.0,20.4,18.6,23.8,8.7,6.7,12.1,16.0,11.3,5.0,25.6,6.9,11.2,13.39,20.79
p_crash,,9.0,53.0,61.0,71.0,296.0,3011.0,42.0,0.0,86.0,83.0,83.0,166.0,51.0,45.0,38.0,424.0,99.0
